1,6,7,8,1518652801
2,6,7,8,1518654601
3,6,7,8,1518656401
4,6,7,8,1518658201
5,6,7,8,1518660001
6,6,7,8,1518661801
7,6,7,8,1518663601
8,6,7,8,1518665401
9,6,7,8,1518667201
10,6,7,8,1518669001
11,5,6,7,1518670801
12,4,5,6,1518672601
13,3,5,5,1518674401
14,3,4,5,1518676201
15,3,4,5,1518678001
16,4,5,6,1518679801
17,5,6,7,1518681601
18,6,7,8,1518683401
19,6,7,8,1518685201
20,6,7,8,1518687001
21,6,7,8,1518688801
22,6,7,8,1518690601
23,6,7,8,1518692401
24,6,7,8,1518694201
25,6,7,8,1518696001
26,6,7,8,1518697801
27,6,7,8,1518699601
28,6,7,8,1518701401
29,6,7,8,1518703201
30,6,7,8,1518705001
31,6,7,8,1518706801
32,6,7,8,1518708601
33,6,7,8,1518710401
34,6,7,8,1518712201
35,6,7,8,1518714001
36,6,7,8,1518715801
37,6,7,8,1518717601
38,6,7,8,1518719401
39,6,7,8,1518721201
40,6,7,8,1518723001
41,6,7,8,1518724801
42,6,7,8,1518726601
43,6,7,8,1518728401
44,6,7,8,1518730201
45,6,7,8,1518732001
46,6,7,8,1518733801
47,6,7,8,1518735601
48,6,7,8,1518737401
49,6,7,8,1518739201
50,6,7,8,1518741001
